Rank,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS.1,TD.1,FL,G,FPTS,FPTS/G,ROST,Team,Week,Year
257,Joshua Palmer,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,45.7%,LAC,12,2023
258,Javon Baker,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.8%,NE,12,2023
259,Treylon Burks,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.7%,TEN,12,2023
260,Brian Thomas Jr.,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,78.1%,JAC,12,2023
261,Marvin Harrison Jr.,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,99.7%,ARI,12,2023
262,Troy Franklin,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,1.6%,DEN,12,2023
263,Rakim Jarrett,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,TB,12,2023
264,Ronnie Bell,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.1%,SF,12,2023
265,Cornelius Johnson,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,LAC,12,2023
266,Xavier Worthy,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,89.1%,KC,12,2023
267,Kevin Austin Jr.,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,NO,12,2023
268,Dareke Young,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,SEA,12,2023
269,Montrell Washington,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,KC,12,2023
270,Irvin Charles,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,NYJ,12,2023
271,Kendric Pryor,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,CIN,12,2023
272,Tyreik McAllister,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,LV,12,2023
273,Deven Thompkins,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,FA,12,2023
274,Jalen Nailor,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.6%,MIN,12,2023
275,Velus Jones Jr.,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.1%,CHI,12,2023
276,Jalen Virgil,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,BUF,12,2023
277,Samori Toure,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,CHI,12,2023
278,Michael Woods II,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,CLE,12,2023
279,Xavier Weaver,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,ARI,12,2023
280,Tay Martin,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,SF,12,2023
281,Bo Melton,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.2%,GB,12,2023
282,Justin Shorter,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,LV,12,2023
283,Dontayvion Wicks,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,25.1%,GB,12,2023
284,Adonai Mitchell,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,31.3%,IND,12,2023
285,Mitchell Tinsley,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,WAS,12,2023
286,Johnny Johnson III,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,HOU,12,2023
287,Brandon Johnson,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,PIT,12,2023
288,Britain Covey,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.1%,PHI,12,2023
289,Patrick Edwards,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,DET,12,2023
290,Jordan Matthews,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,CAR,12,2023
291,Kenny McKinley,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,DEN,12,2023
